product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
21,proin at turpis,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",523.99,2.68,toys,Meevee,454,Turquoise,medium,0.8,2012-09-14,2.6,575,at nulla suspendisse potenti,3.5,179,free,29.98
22,mauris enim leo rhoncus,Sed ante. Vivamus tortor. Duis mattis egestas metus.,625.39,17.31,electronics,Thoughtstorm,646,Goldenrod,large,5.1,2020-09-29,1.8,378,odio,4.8,971,free,12.43
23,purus eu magna,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,178.65,13.24,clothing,Linktype,247,Orange,extra large,0.1,2017-01-04,1.8,134,nullam sit amet turpis,2.7,658,standard,3.96
24,vehicula condimentum curabitur in,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,647.52,27.95,beauty,Zoomcast,759,Teal,extra large,8.2,2012-07-19,1.6,694,fusce consequat nulla nisl nunc nisl,1.9,216,express,39.34
25,condimentum curabitur in,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",567.01,48.0,beauty,Livetube,522,Red,small,5.3,2020-08-16,1.5,175,dis parturient montes nascetur ridiculus mus,4.5,813,free,27.41
26,curabitur gravida nisi at,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",525.56,41.31,beauty,Voolith,594,Fuscia,large,7.0,2016-11-09,2.0,293,molestie sed justo pellentesque viverra pede,1.6,389,express,34.15
27,turpis a,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",495.84,39.91,electronics,Jaxbean,307,Purple,extra large,6.0,2010-03-08,2.0,216,vel dapibus,1.1,464,free,0.3
28,tincidunt lacus at,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",621.55,4.96,toys,Realfire,787,Mauv,small,5.7,2022-10-26,1.6,662,vestibulum ante ipsum,1.6,366,free,17.17
29,consequat morbi a ipsum,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,692.78,12.95,clothing,Jetwire,492,Maroon,extra large,8.3,2021-10-17,1.7,59,morbi a ipsum integer a,1.8,672,express,14.32
30,porttitor id consequat,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,180.92,11.88,toys,Skivee,871,Khaki,extra large,9.6,2019-05-29,3.0,522,volutpat dui maecenas tristique est et,4.2,538,standard,16.65
31,odio donec vitae nisi,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,543.79,46.32,beauty,Thoughtblab,981,Fuscia,large,2.7,2014-09-09,3.3,517,consectetuer eget,2.7,979,express,37.22
32,orci pede,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",78.97,26.27,toys,Zava,43,Fuscia,extra large,3.7,2013-05-03,3.6,345,a suscipit nulla,4.6,128,express,20.85
33,dolor quis,Aliquam non mauris.,458.72,31.35,clothing,Eire,300,Orange,medium,7.5,2013-11-03,4.7,217,dui maecenas,2.5,229,express,25.88
34,eu massa donec dapibus,Proin eu mi.,574.0,38.17,home decor,Cogibox,934,Green,medium,1.7,2012-06-14,4.7,455,viverra diam vitae quam,4.7,227,standard,15.17
35,ante ipsum primis,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",620.43,46.73,clothing,Eayo,797,Fuscia,medium,5.6,2013-05-02,2.6,247,viverra eget congue eget semper,3.6,949,free,28.29
36,faucibus orci,Ut at dolor quis odio consequat varius.,799.88,18.35,home decor,Voomm,533,Maroon,small,5.5,2011-01-07,3.0,546,quis augue luctus tincidunt nulla,1.5,533,express,31.67
37,in hac habitasse platea,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",95.58,4.7,toys,Quaxo,267,Green,medium,9.7,2013-05-21,2.2,323,justo pellentesque,4.3,960,standard,36.12
38,vel est,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,821.05,12.26,electronics,Voonix,825,Teal,medium,3.5,2022-02-12,3.0,651,donec odio justo sollicitudin ut,3.9,534,express,0.19
39,ligula in lacus curabitur,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",229.9,20.92,clothing,Centizu,226,Crimson,extra large,9.7,2012-05-20,1.8,800,phasellus,1.9,322,free,42.54
40,velit donec,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",513.43,4.47,beauty,Dazzlesphere,698,Blue,large,2.6,2015-11-02,2.7,53,a,1.3,785,express,28.18
41,at velit eu est,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",401.18,4.74,clothing,Babbleblab,427,Violet,medium,10.0,2021-01-27,2.6,378,diam vitae quam suspendisse potenti nullam,2.5,500,standard,46.82
42,sit amet,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",137.91,33.71,electronics,Divavu,273,Violet,medium,3.7,2020-12-11,1.4,324,donec vitae nisi nam,1.5,707,standard,42.93
43,duis aliquam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",572.56,21.12,beauty,Zoombeat,527,Red,large,7.7,2018-04-08,3.0,44,duis aliquam convallis,1.3,936,standard,10.39
44,quis orci eget,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,684.33,32.52,clothing,Riffpath,815,Indigo,large,7.8,2021-11-19,3.4,594,semper porta volutpat,1.4,854,standard,39.76
45,ante ipsum primis,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",794.58,37.0,clothing,Brainverse,191,Puce,small,1.2,2011-04-29,2.5,234,vivamus vestibulum sagittis sapien,2.3,421,express,20.7
46,gravida sem,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,233.4,29.9,beauty,Tagchat,242,Puce,large,0.7,2021-03-03,1.9,519,libero rutrum ac,4.6,347,free,15.39
47,eget massa tempor convallis,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,336.65,12.36,clothing,Muxo,981,Mauv,small,2.4,2016-10-18,1.5,398,vestibulum vestibulum ante,4.1,316,free,3.45
48,phasellus in felis,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",442.69,27.06,clothing,Podcat,777,Fuscia,medium,3.6,2020-12-08,1.9,586,nunc commodo placerat praesent blandit nam,2.2,998,standard,39.49
49,vitae mattis,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",375.72,10.04,home decor,InnoZ,272,Red,extra large,5.9,2015-03-10,3.8,72,sed tincidunt eu felis,2.2,835,free,47.92
50,justo eu massa,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",950.81,7.77,clothing,Chatterbridge,698,Blue,medium,9.6,2017-07-11,3.8,78,morbi non,4.5,121,free,7.81
51,accumsan tortor quis turpis,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",759.1,40.67,toys,Myworks,712,Mauv,medium,8.7,2020-06-26,1.2,258,massa id lobortis convallis,2.8,659,free,8.9
52,at ipsum,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",752.98,12.58,home decor,Skalith,694,Aquamarine,extra large,6.8,2019-10-16,2.0,588,lobortis est phasellus,4.2,886,express,38.35
53,platea dictumst aliquam,Donec posuere metus vitae ipsum. Aliquam non mauris.,969.08,0.11,electronics,Oba,909,Green,large,5.8,2014-06-15,1.8,473,est et tempus semper,2.3,463,standard,49.6
54,dui vel,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,240.78,4.8,electronics,Quatz,570,Aquamarine,extra large,3.3,2021-08-05,1.7,629,nam,3.6,600,express,15.53
55,cum sociis natoque penatibus,Duis mattis egestas metus.,263.48,17.61,beauty,Leexo,608,Mauv,small,6.7,2020-04-30,4.2,452,at nibh in,3.8,972,free,42.33
56,iaculis diam erat fermentum,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",456.34,11.74,home decor,Teklist,122,Purple,large,6.9,2011-02-18,4.0,132,maecenas leo odio condimentum,4.4,662,free,12.79
57,lacus morbi,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",186.64,2.16,electronics,Pixoboo,504,Aquamarine,extra large,1.2,2016-12-09,2.2,332,vitae consectetuer eget,4.1,152,express,40.05
58,aliquam convallis,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",241.47,23.57,toys,Kanoodle,775,Pink,large,7.1,2022-08-11,3.1,325,lectus in quam fringilla rhoncus mauris,2.3,753,standard,39.47
59,nunc viverra dapibus nulla,Nullam molestie nibh in lectus.,182.39,19.44,home decor,Skilith,33,Orange,medium,4.6,2020-11-30,4.9,981,amet nunc viverra dapibus,1.0,535,express,1.36
60,in porttitor pede justo,Nulla facilisi.,346.96,23.99,clothing,Gigazoom,41,Blue,large,9.5,2013-07-15,3.7,869,semper sapien,4.2,251,free,6.24
61,ac neque duis bibendum,Morbi a ipsum.,311.55,4.92,toys,Trilith,705,Violet,small,8.9,2013-08-07,3.4,683,felis sed,4.6,19,standard,39.11
62,leo odio,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",68.88,18.84,beauty,InnoZ,606,Purple,extra large,2.2,2020-06-04,4.0,703,vestibulum ante ipsum,4.2,412,free,26.93
63,donec diam neque,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,403.78,13.02,clothing,Brainverse,693,Khaki,small,7.1,2018-05-04,2.6,142,duis faucibus accumsan odio curabitur convallis,2.2,787,free,19.55
64,vitae nisl aenean,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,306.73,17.56,clothing,Demizz,732,Aquamarine,small,0.3,2021-04-29,3.3,802,ornare imperdiet sapien urna pretium nisl,3.4,427,free,45.45
65,scelerisque mauris sit,Integer a nibh. In quis justo.,67.07,9.56,electronics,Tambee,39,Khaki,large,8.7,2017-01-30,2.9,396,eget,3.4,856,free,17.86
66,ut massa volutpat convallis,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",833.35,22.3,home decor,Oozz,393,Purple,small,4.2,2011-04-10,3.1,837,elementum nullam varius nulla,1.4,110,express,31.91
67,ultrices posuere,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",530.4,22.66,clothing,Thoughtmix,345,Violet,extra large,0.9,2016-01-08,1.0,818,pellentesque ultrices mattis odio donec,3.2,836,standard,34.86
68,cubilia curae duis faucibus,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",462.13,39.16,home decor,Rhybox,297,Maroon,medium,5.6,2018-12-14,3.0,580,dolor vel est donec odio,2.6,298,express,32.44
69,a feugiat et,Pellentesque viverra pede ac diam.,295.21,18.1,toys,Vitz,217,Violet,large,5.2,2019-06-08,2.6,325,cursus id turpis integer aliquet massa,1.6,293,express,34.49
70,id pretium,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",761.55,23.34,electronics,Pixoboo,131,Aquamarine,large,7.7,2022-11-26,3.5,233,in felis,2.6,316,free,1.52
71,pellentesque at nulla,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",304.37,8.11,toys,Photofeed,841,Puce,small,6.0,2022-02-17,3.6,296,quis augue luctus tincidunt nulla mollis,4.6,895,express,40.29
72,ornare consequat,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",720.77,41.1,home decor,Zoombox,93,Orange,small,4.5,2019-11-19,2.0,882,varius integer ac leo pellentesque,2.6,263,standard,5.16
73,malesuada in imperdiet et,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",84.08,10.66,clothing,Blogtags,114,Aquamarine,medium,2.4,2015-06-10,2.3,309,maecenas tristique,2.1,356,free,23.48
74,erat quisque erat,In blandit ultrices enim.,23.03,43.84,clothing,Mycat,388,Crimson,large,4.3,2012-01-27,4.0,545,et ultrices posuere cubilia curae,2.9,869,standard,3.14
75,laoreet ut,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",870.01,37.43,clothing,Oba,379,Mauv,medium,7.1,2012-11-11,2.4,812,adipiscing elit proin interdum mauris,1.0,990,express,47.64
76,lorem quisque ut erat,Curabitur convallis.,223.27,42.13,beauty,Dabfeed,387,Pink,medium,5.8,2014-07-24,3.3,133,vel lectus,1.1,160,free,10.96
77,tortor risus dapibus augue,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",440.95,23.27,home decor,Skiba,967,Blue,medium,2.8,2016-04-19,2.9,880,accumsan tortor quis turpis sed,3.5,929,free,16.04
78,vivamus in felis,Cras pellentesque volutpat dui.,230.83,47.89,home decor,Tagcat,571,Indigo,extra large,5.7,2013-07-21,1.5,917,duis consequat dui,1.2,13,standard,28.44
79,fusce posuere felis,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,706.29,39.05,toys,Bluejam,428,Khaki,small,9.6,2019-08-08,3.7,526,semper est quam pharetra,4.1,337,standard,48.03
80,justo etiam pretium iaculis,Nullam porttitor lacus at turpis.,656.96,26.03,toys,Voonte,372,Goldenrod,small,0.8,2014-12-16,4.7,983,tortor id nulla ultrices aliquet,1.8,915,standard,18.15
81,in faucibus,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",960.72,32.28,beauty,Omba,971,Blue,large,2.8,2018-12-15,2.8,989,sapien,3.4,51,free,34.79
82,ac consequat metus sapien,Vivamus tortor. Duis mattis egestas metus.,735.0,28.38,home decor,Voolith,466,Purple,small,2.2,2020-09-23,3.8,924,in eleifend quam,3.9,913,standard,9.41
83,vivamus in,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",508.3,12.85,toys,Eire,753,Fuscia,small,3.2,2015-03-21,3.4,986,dui vel nisl,1.7,82,standard,40.37
84,morbi vestibulum,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",440.92,27.6,electronics,Trudoo,363,Blue,medium,3.1,2021-12-19,3.2,955,justo sit amet sapien dignissim,4.8,188,free,46.82
85,rhoncus aliquet pulvinar sed,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",100.07,46.01,beauty,Aibox,92,Orange,extra large,1.3,2015-06-03,2.7,810,donec ut dolor,2.3,215,express,14.05
86,et ultrices posuere cubilia,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,111.75,23.24,beauty,Katz,290,Goldenrod,medium,9.0,2011-05-02,1.3,969,sem,4.5,45,express,29.26
87,proin leo odio,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,566.9,31.73,electronics,Yamia,301,Maroon,extra large,7.7,2020-05-17,1.1,74,diam,4.7,790,standard,3.44
88,tortor id,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,543.19,23.29,home decor,Wikizz,155,Indigo,small,8.9,2012-11-27,1.6,302,dolor sit amet,4.5,441,express,35.15
89,lorem integer,Nulla justo.,582.28,21.85,toys,Babbleopia,345,Teal,medium,4.7,2014-12-06,1.9,327,integer a nibh,4.6,203,express,17.18
90,tincidunt eget,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",834.59,44.68,beauty,Zoozzy,997,Indigo,medium,3.8,2015-10-30,2.8,120,diam in magna bibendum imperdiet nullam,4.4,778,free,18.19
91,condimentum id,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",474.36,8.44,electronics,InnoZ,508,Turquoise,small,3.8,2019-07-24,3.1,320,potenti in eleifend quam,4.5,181,free,3.45
92,molestie nibh in,Nulla suscipit ligula in lacus.,287.78,21.97,beauty,Centizu,341,Blue,large,2.0,2022-03-03,1.2,484,fermentum justo nec condimentum neque sapien,2.9,935,standard,48.39
93,nulla ac enim in,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",93.37,42.25,home decor,Viva,222,Violet,small,2.4,2016-05-10,2.5,527,sapien ut nunc vestibulum ante ipsum,4.1,6,express,45.64
94,id justo,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",668.48,26.46,toys,Trunyx,255,Indigo,large,0.9,2012-02-23,4.7,556,ligula nec sem,3.0,697,express,46.47
95,nisi at nibh,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",248.35,45.51,home decor,Wikivu,43,Mauv,medium,5.5,2018-02-23,2.2,317,mi nulla ac enim in,4.3,177,free,31.25
96,aliquam lacus morbi quis,Praesent lectus.,269.43,17.85,toys,Dablist,308,Purple,extra large,2.4,2011-12-23,3.5,43,metus arcu adipiscing molestie hendrerit at,2.1,692,standard,4.0
97,sit amet consectetuer,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,242.19,26.05,electronics,Jayo,613,Blue,large,5.0,2013-03-15,4.1,561,integer tincidunt,3.0,368,standard,19.9
98,urna ut tellus nulla,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",54.21,15.64,electronics,Vinte,461,Fuscia,small,2.0,2020-03-19,4.3,392,felis,4.7,208,free,41.27
99,vestibulum velit id,Etiam vel augue. Vestibulum rutrum rutrum neque.,277.29,48.04,toys,Yodoo,934,Green,large,0.4,2017-12-19,1.7,454,tincidunt,4.5,269,free,0.45
100,aenean sit amet justo,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,767.1,32.66,beauty,Trupe,957,Orange,medium,7.0,2014-04-03,3.7,496,est congue,3.8,64,express,23.35
